sample	007_4640a	008_4655a	010_4671a	026_4858a	032_4883a	043_4947a	051_4967a	056_4978a	085_5110a	093_5162a	100_5150a	128_5318a	149_5373a	150_5340a	161_5469a	179_5504a	185_5554a	195_5610a	198_5605a	213_5692a	216_5714a	218_5723a	223_5732a	229_5764a	234_5779a	284_5789a	285_5792a	291_5865a	LA_RV_355_5908a_S22	LA_RV_373_5965a_S40
MTX_response	remission	inefficiency	inefficiency	inefficiency	remission	remission	inefficiency	inefficiency	remission	inefficiency	inefficiency	remission	remission	inefficiency	remission	inefficiency	remission	inefficiency	inefficiency	remission	remission	remission	remission	remission	remission	remission	inefficiency	inefficiency	remission	remission
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00436946	0.00693891	0.00709008	0.0063158	0.0073105	0.00779851	0.00725987	0.00927967	0.00741566	0.00782891	0.00750129	0.00752081	0.00793785	0.00681309	0.00706762	0.00547491	0.00585595	0.00836246	0.00647732	0.00765907	0.00747895	0.00688987	0.00709612	0.00496269	0.00887264	0.00777263	0.00782917	0.00714415	0.00767877	0.00750312
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	9.02792e-06	0.0	0.0	0.0	1.72034e-05	0.0	7.92431e-05	0.0	0.0	7.59114e-06	0.0	0.0	9.61645e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000159031	0.0	0.0	0.0	0.0	0.0	0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6414e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4397e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000149877	0.0	0.0	0.0	0.0	0.0	0.0	9.62348e-05	0.000114713	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	7.62582e-05	0.000127847	0.000172127	0.000165279	0.000240206	0.000216219	0.000138691	0.000210396	0.000162553	0.00025051	9.27875e-05	0.000106217	0.000203823	7.63151e-05	0.000213847	3.5387e-05	7.00742e-05	0.000148144	0.000258334	0.000205269	0.000131195	0.000110933	0.000229008	0.000132577	0.000194317	9.62527e-05	0.000109566	0.000293452	0.000110022	0.000264815
ANAEROFRUCAT-PWY: homolactic fermentation	0.00476367	0.00692556	0.0070276	0.00762667	0.00716507	0.00607314	0.00681172	0.00387416	0.00384565	0.0066391	0.00748686	0.00543003	0.0069091	0.00530806	0.00743688	0.00793754	0.0051324	0.00818442	0.00787724	0.00724188	0.00667236	0.00838424	0.00752804	0.0049231	0.00700881	0.00757401	0.00784101	0.00859393	0.0059303	0.00630797
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00562585	0.00895964	0.00899848	0.00924146	0.00941874	0.00941902	0.0106559	0.0110407	0.0108372	0.00906265	0.0093476	0.0125577	0.00991384	0.0130396	0.00909031	0.0105313	0.00694173	0.0107439	0.00907203	0.0109118	0.00906157	0.00963126	0.00949837	0.0101908	0.0101578	0.00946739	0.00957204	0.010739	0.0142882	0.00932051
