sample	LA_RV_373_5965a_S40	LA_RV_355_5908a_S22	291_5865a	285_5792a	284_5789a	234_5779a	229_5764a	223_5732a	218_5723a	216_5714a	213_5692a	198_5605a	195_5610a	185_5554a	179_5504a	161_5469a	150_5340a	149_5373a	128_5318a	100_5150a	093_5162a	085_5110a	056_4978a	051_4967a	043_4947a	032_4883a	026_4858a	010_4671a	008_4655a	007_4640a
MTX_response	remission	remission	inefficiency	inefficiency	remission	remission	remission	remission	remission	remission	remission	inefficiency	inefficiency	remission	inefficiency	remission	inefficiency	remission	remission	inefficiency	inefficiency	remission	inefficiency	inefficiency	remission	remission	inefficiency	inefficiency	inefficiency	remission
Methanomassiliicoccaceae_archaeon_DOK|t__SGB381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15402	0.0	0.0	0.0	0.0	0.0
Methanomassiliicoccaceae_unclassified_SGB380|t__SGB380	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12478	0.0	0.0	0.0	0.0	0.0
Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363	0.0	0.0	0.0	0.0	0.0	0.00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanomassiliicoccales_archaeon|t__SGB372	0.26217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB1567_SGB2154|t__SGB2154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.62537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB781_SGB1024|t__SGB1024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00163	0.0	0.0	0.0	0.0
Methanobrevibacter_smithii|t__SGB714_group	0.07459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03332	0.0	0.04259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97344	0.0	0.0	0.08633	0.0	0.00401	0.0	0.0	0.0
Methanosphaera_stadtmanae|t__SGB698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03908	0.0	0.0	0.0	0.0	0.0	0.17688	0.0	0.0
Actinobaculum_sp_oral_taxon_183|t__SGB15892	0.0	0.0	0.0	0.00247	0.00159	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022	0.0	0.0	0.0	8e-05	0.0	0.00087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
