sample	029_4870a	046_4949a	054_4976a	065_5037a	083_5091a	088_5114a	113_5241a	115_5235a	160_5453a	178_5685a	180_5521a	186_5559a	188_5571a	197_5625a	199_5632a	203_5662a	207_5670a	220_5717a	222_5735a	225_5747a	227_5749a	228_5756a	289_5851a	293_5828a	LA_RV_352_5899a_S19	LA_RV_372_5944a_S39	LA_RV_382_5978a_S49	LA_RV_389_6006a_S56	LA_RV_395_6024a_S62
MTX_response	remission	remission	remission	inefficiency	inefficiency	remission	remission	remission	inefficiency	remission	inefficiency	remission	remission	inefficiency	remission	inefficiency	remission	remission	remission	inefficiency	remission	remission	remission	inefficiency	inefficiency	remission	remission	inefficiency	remission
1CMET2-PWY: folate transformations III (E. coli)	6550.03	6468.41	7845.05	8080.52	6963.03	7262.79	6965.71	6723.38	7084.73	7013.28	4833.01	6968.25	7645.47	6775.51	7148.93	7013.0	6489.18	7953.53	4248.86	5308.71	6986.25	5893.34	7018.61	6879.34	6609.35	7424.41	6928.19	7618.41	7405.63
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.9613	0.0	0.0	0.0	0.0	0.0	0.0	1062.18	380.137	0.0	0.0	0.0	22.4991	0.0	0.0	0.0	0.0	0.0
4-HYDROXYMANDELATE-DEGRADATION-PWY: 4-hydroxymandelate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.1991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	67.4547	0.0	0.0	0.0	0.0	546.864	6.14351	0.0	8.97788	32.383	0.0	22.9877	0.0	0.0	0.0	20.8892	0.0	0.0	0.0	15.6554	0.0	0.0	0.0	14.7865
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	102.238	52.0817	108.903	77.4045	87.8407	88.8777	103.923	99.7309	154.966	225.306	171.511	282.991	183.64	126.223	347.445	77.6351	285.928	312.121	22.0068	206.332	112.351	292.072	352.702	193.59	220.155	175.239	145.885	160.287	168.602
ANAEROFRUCAT-PWY: homolactic fermentation	6982.67	6680.67	6352.15	7088.7	7925.85	7166.89	7617.06	6751.65	7291.46	7135.9	5381.75	6625.58	7624.64	6816.67	8123.21	6446.94	6839.51	7452.57	4098.69	4944.97	6301.8	8020.35	8364.69	8429.16	6918.58	8714.31	5673.91	8990.73	7157.51
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	12916.1	8915.96	9740.47	10733.2	9396.4	9299.1	9195.39	9182.58	9485.29	9143.33	6922.75	8416.26	10500.1	10176.2	9951.83	10834.0	9331.32	9061.95	5292.58	6617.48	9971.02	8903.64	10576.5	10048.4	8878.76	10484.9	9898.85	9912.72	9201.1
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	595.54	523.973	1442.77	265.808	1227.96	919.627	949.523	797.639	2108.55	664.048	2760.9	1285.71	1190.27	660.184	793.555	541.93	1964.74	931.712	3361.98	3486.89	780.58	1192.61	1829.11	2200.86	1354.91	398.09	1203.23	517.982	1052.9
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	19.4405	0.0	0.0	0.0	7.80906	623.442	23.0104	0.0	0.0	0.0	0.0	0.0	0.0	1041.3	813.563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.1531	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	982.715	1099.17	598.524	3780.47	2657.75	1881.45	1428.59	709.374	0.0	1511.05	1535.24	979.247	1373.7	384.648	2265.25	574.324	1011.43	596.861	2534.34	1887.78	1123.2	1317.85	2303.86	3010.55	1266.73	2980.69	390.394	948.772	2030.39
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	6602.97	8465.22	7381.19	6931.68	7353.96	7163.37	7638.68	7317.36	6804.38	8669.03	6448.83	7871.82	6073.19	9423.36	7907.0	7022.66	7725.9	8564.64	3625.19	4766.07	6295.93	7116.96	6392.25	6183.67	8206.65	6698.83	8938.84	6698.33	8813.93
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	6178.42	8593.99	7199.16	6553.63	7622.72	6986.24	7628.57	7092.67	7043.84	8643.27	6480.77	7842.02	5987.11	9469.78	8166.71	6772.88	7676.84	9023.53	3491.18	4625.03	6204.93	7163.32	6000.04	6071.96	8343.36	6574.57	8931.3	6620.07	8948.12
ARO-PWY: chorismate biosynthesis I	9933.32	10607.8	8639.52	9028.42	8764.96	8331.06	9138.59	9043.04	9353.32	9523.72	6652.91	9138.2	7446.66	9045.23	10217.9	10241.8	9266.47	10195.6	4723.77	6089.97	9468.06	8706.9	9111.33	8415.18	10152.4	9829.24	9442.17	8986.66	10344.2
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	3529.31	5976.17	4443.33	5174.94	4920.07	4374.37	3848.09	3817.13	3823.74	4464.31	4574.06	3479.52	4187.05	2763.21	4516.45	7693.67	3807.12	4061.05	4172.66	4736.95	5879.79	4572.46	5414.11	4151.91	4338.05	6359.66	4473.95	4216.39	3976.96
AST-PWY: L-arginine degradation II (AST pathway)	0.0	11.9755	0.0	0.0	8.34843	94.3172	0.0	0.0	0.0	0.0	468.055	63.0395	0.0	0.0	24.8216	0.0	17.9723	0.0	1157.63	1374.17	27.1146	0.0	0.0	54.9738	10.6966	0.0	0.0	6.94394	20.3955
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	1378.32	591.489	773.354	1749.95	660.65	1296.72	1442.14	1117.05	398.45	636.493	1822.94	1214.35	1224.09	556.469	1087.77	335.541	1062.73	856.643	3109.39	2564.49	920.523	1146.78	558.462	1489.14	833.117	693.239	628.515	1050.58	919.213
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	7004.45	9051.08	7768.67	8212.46	8389.97	7762.26	9030.27	7568.68	8254.04	8790.32	8026.62	8502.6	6531.63	8260.97	8804.75	7596.02	7806.45	10520.7	4990.83	5878.12	8012.33	8772.48	7323.78	7213.66	9665.95	7616.92	8949.79	7691.08	9685.7
