sample	LA_RV_395_6024a_S62	LA_RV_389_6006a_S56	LA_RV_382_5978a_S49	LA_RV_372_5944a_S39	LA_RV_352_5899a_S19	293_5828a	289_5851a	228_5756a	227_5749a	225_5747a	222_5735a	220_5717a	207_5670a	203_5662a	199_5632a	197_5625a	188_5571a	186_5559a	180_5521a	178_5685a	160_5453a	115_5235a	113_5241a	088_5114a	083_5091a	065_5037a	054_4976a	046_4949a	029_4870a
MTX_response	remission	inefficiency	remission	remission	inefficiency	inefficiency	remission	remission	remission	inefficiency	remission	remission	remission	inefficiency	remission	inefficiency	remission	remission	inefficiency	remission	inefficiency	remission	remission	remission	inefficiency	inefficiency	remission	remission	remission
Candidatus_Methanomethylophilus_alvus|t__SGB385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus_Methanomassiliicoccus_intestinalis|t__SGB363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanomassiliicoccales_archaeon|t__SGB376	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB1567_SGB2154|t__SGB2154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB781_SGB1024|t__SGB1024	0.0	0.08271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter_smithii|t__SGB714_group	0.0	0.04317	0.21907	0.0	0.0	0.0	0.0	0.0	0.0	0.25848	0.0	0.0	0.0	0.0	0.0	1.76102	0.28842	0.03303	1.96249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanobrevibacter_woesei|t__SGB715	0.0	0.0	0.00129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methanosphaera_stadtmanae|t__SGB698	0.0	0.01761	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum_sp_oral_taxon_183|t__SGB15892	0.0	0.00543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00288	0.0	0.01326	0.0	0.0	0.0	0.0	0.00043	0.0	0.0	0.0	0.00068	0.0	0.0	0.0
Actinomyces_SGB17154|t__SGB17154	0.0	0.0	0.0	0.0	0.0	0.00239	0.0	0.0	0.01273	0.0	0.0	0.0	0.00222	0.0	0.05048	0.04587	0.0	0.0	0.01283	0.00572	0.0	0.0	0.01904	0.0	0.0029	0.0	0.0	0.0	0.00502
Actinomyces_SGB17168|t__SGB17168	0.0358	0.0	0.0	0.0	0.0	0.0	0.01507	0.00163	0.0	0.03002	0.0	0.0	0.00303	0.0	0.01201	0.0	0.0	0.00977	0.0	0.02055	0.0	0.0	0.00053	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_bouchesdurhonensis|t__SGB17152	0.00924	0.0	0.0	0.0	0.0	0.0	0.05493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11113	0.0	0.00496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02073
Actinomyces_dentalis|t__SGB15877	0.0	0.00767	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_gerencseriae|t__SGB15874	0.0	0.02884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01581	0.0	0.0	0.0	0.0	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_graevenitzii|t__SGB17130	0.0	0.0	0.0	0.0	0.0	0.00613	0.01334	0.0	0.02572	0.00303	0.0	0.0	0.0	0.0	0.03385	0.00251	0.0	0.0	0.0	0.00975	0.0	0.0	0.0	0.0	0.00209	0.0	0.00994	0.0	0.0
Actinomyces_israelii|t__SGB15875	0.00035	0.03859	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_johnsonii|t__SGB15887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00448	0.0	0.00516	0.0	0.0	0.00044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_massiliensis|t__SGB15873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.00165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_naeslundii|t__SGB15888	0.0	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_oris|t__SGB15878	0.00049	0.00683	0.00618	0.0	0.0	0.00158	0.0	0.0041	0.00698	0.0	0.0	0.0	0.01359	0.0	0.0	0.00211	0.00092	0.0	0.00246	0.00553	0.0	0.00738	0.0	0.00065	0.0	0.0	0.00277	0.0	0.0
Actinomyces_radicidentis|t__SGB15891	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_sp_ICM47|t__SGB17167	0.0	0.0	0.0	0.0	0.0	0.02757	0.02486	0.0005	0.0	0.02606	0.0	0.0	0.0	0.0	0.0572	0.01013	0.0	0.0	0.00222	0.00139	0.0	0.00076	0.0	0.00114	0.00029	0.0	0.01331	0.0002	0.0
Actinomyces_sp_ICM58|t__SGB17169	0.0	0.00242	0.08735	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.00675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0	0.0	0.0	0.00271	0.0	0.0	0.05019	0.00171	0.0
Actinomyces_sp_oral_taxon_448|t__SGB15872	0.0	0.02842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_sp_oral_taxon_897|t__SGB15876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pauljensenia_hongkongensis|t__SGB17148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.00136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Schaalia_turicensis|t__SGB17195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00795	0.0	0.0	0.0	0.0	0.0	0.00462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
