run_id	disease_group	feature_set	repeat_index	seed	auc
PsA_pathway_only_all_features	PsA	pathway_only	1	42	0.7104072398190046
PsA_pathway_only_all_features	PsA	pathway_only	2	43	0.6900452488687783
PsA_pathway_only_all_features	PsA	pathway_only	3	44	0.6470588235294118
PsA_pathway_only_all_features	PsA	pathway_only	4	45	0.6651583710407241
PsA_pathway_only_all_features	PsA	pathway_only	5	46	0.6968325791855203
PsA_pathway_only_all_features	PsA	pathway_only	6	47	0.6515837104072398
PsA_pathway_only_all_features	PsA	pathway_only	7	48	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	8	49	0.7126696832579186
PsA_pathway_only_all_features	PsA	pathway_only	9	50	0.7036199095022625
PsA_pathway_only_all_features	PsA	pathway_only	10	51	0.6787330316742082
PsA_pathway_only_all_features	PsA	pathway_only	11	52	0.7285067873303168
PsA_pathway_only_all_features	PsA	pathway_only	12	53	0.7104072398190046
PsA_pathway_only_all_features	PsA	pathway_only	13	54	0.7601809954751132
PsA_pathway_only_all_features	PsA	pathway_only	14	55	0.7104072398190047
PsA_pathway_only_all_features	PsA	pathway_only	15	56	0.6832579185520362
PsA_pathway_only_all_features	PsA	pathway_only	16	57	0.7285067873303168
PsA_pathway_only_all_features	PsA	pathway_only	17	58	0.6968325791855203
PsA_pathway_only_all_features	PsA	pathway_only	18	59	0.7194570135746606
PsA_pathway_only_all_features	PsA	pathway_only	19	60	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	20	61	0.7375565610859729
PsA_pathway_only_all_features	PsA	pathway_only	21	62	0.7285067873303168
PsA_pathway_only_all_features	PsA	pathway_only	22	63	0.6515837104072398
PsA_pathway_only_all_features	PsA	pathway_only	23	64	0.746606334841629
PsA_pathway_only_all_features	PsA	pathway_only	24	65	0.7330316742081449
PsA_pathway_only_all_features	PsA	pathway_only	25	66	0.6945701357466063
PsA_pathway_only_all_features	PsA	pathway_only	26	67	0.7262443438914028
PsA_pathway_only_all_features	PsA	pathway_only	27	68	0.6968325791855203
PsA_pathway_only_all_features	PsA	pathway_only	28	69	0.7058823529411765
PsA_pathway_only_all_features	PsA	pathway_only	29	70	0.6832579185520362
PsA_pathway_only_all_features	PsA	pathway_only	30	71	0.7330316742081449
PsA_pathway_only_all_features	PsA	pathway_only	31	72	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	32	73	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	33	74	0.6809954751131222
PsA_pathway_only_all_features	PsA	pathway_only	34	75	0.7262443438914028
PsA_pathway_only_all_features	PsA	pathway_only	35	76	0.7239819004524888
PsA_pathway_only_all_features	PsA	pathway_only	36	77	0.667420814479638
PsA_pathway_only_all_features	PsA	pathway_only	37	78	0.7330316742081449
PsA_pathway_only_all_features	PsA	pathway_only	38	79	0.7194570135746606
PsA_pathway_only_all_features	PsA	pathway_only	39	80	0.6832579185520362
PsA_pathway_only_all_features	PsA	pathway_only	40	81	0.7013574660633484
PsA_pathway_only_all_features	PsA	pathway_only	41	82	0.7104072398190046
PsA_pathway_only_all_features	PsA	pathway_only	42	83	0.7194570135746606
PsA_pathway_only_all_features	PsA	pathway_only	43	84	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	44	85	0.6923076923076923
PsA_pathway_only_all_features	PsA	pathway_only	45	86	0.6651583710407241
PsA_pathway_only_all_features	PsA	pathway_only	46	87	0.6923076923076923
PsA_pathway_only_all_features	PsA	pathway_only	47	88	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	48	89	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	49	90	0.7285067873303168
PsA_pathway_only_all_features	PsA	pathway_only	50	91	0.6832579185520362
PsA_pathway_only_all_features	PsA	pathway_only	51	92	0.6787330316742082
PsA_pathway_only_all_features	PsA	pathway_only	52	93	0.7217194570135747
PsA_pathway_only_all_features	PsA	pathway_only	53	94	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	54	95	0.7149321266968326
PsA_pathway_only_all_features	PsA	pathway_only	55	96	0.7013574660633484
PsA_pathway_only_all_features	PsA	pathway_only	56	97	0.6764705882352942
PsA_pathway_only_all_features	PsA	pathway_only	57	98	0.6696832579185521
PsA_pathway_only_all_features	PsA	pathway_only	58	99	0.6923076923076923
PsA_pathway_only_all_features	PsA	pathway_only	59	100	0.7171945701357466
PsA_pathway_only_all_features	PsA	pathway_only	60	101	0.6968325791855203
PsA_pathway_only_all_features	PsA	pathway_only	61	102	0.746606334841629
PsA_pathway_only_all_features	PsA	pathway_only	62	103	0.7149321266968326
PsA_pathway_only_all_features	PsA	pathway_only	63	104	0.7149321266968326
PsA_pathway_only_all_features	PsA	pathway_only	64	105	0.7058823529411765
PsA_pathway_only_all_features	PsA	pathway_only	65	106	0.6855203619909502
PsA_pathway_only_all_features	PsA	pathway_only	66	107	0.7217194570135748
PsA_pathway_only_all_features	PsA	pathway_only	67	108	0.7058823529411765
PsA_pathway_only_all_features	PsA	pathway_only	68	109	0.7194570135746606
PsA_pathway_only_all_features	PsA	pathway_only	69	110	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	70	111	0.7149321266968326
PsA_pathway_only_all_features	PsA	pathway_only	71	112	0.7104072398190046
PsA_pathway_only_all_features	PsA	pathway_only	72	113	0.7058823529411764
PsA_pathway_only_all_features	PsA	pathway_only	73	114	0.7126696832579186
PsA_pathway_only_all_features	PsA	pathway_only	74	115	0.6651583710407241
PsA_pathway_only_all_features	PsA	pathway_only	75	116	0.6923076923076923
PsA_pathway_only_all_features	PsA	pathway_only	76	117	0.660633484162896
PsA_pathway_only_all_features	PsA	pathway_only	77	118	0.6651583710407241
PsA_pathway_only_all_features	PsA	pathway_only	78	119	0.7081447963800904
PsA_pathway_only_all_features	PsA	pathway_only	79	120	0.6923076923076923
PsA_pathway_only_all_features	PsA	pathway_only	80	121	0.7081447963800905
PsA_pathway_only_all_features	PsA	pathway_only	81	122	0.7104072398190044
PsA_pathway_only_all_features	PsA	pathway_only	82	123	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	83	124	0.6742081447963801
PsA_pathway_only_all_features	PsA	pathway_only	84	125	0.6877828054298643
PsA_pathway_only_all_features	PsA	pathway_only	85	126	0.6515837104072398
PsA_pathway_only_all_features	PsA	pathway_only	86	127	0.7058823529411765
PsA_pathway_only_all_features	PsA	pathway_only	87	128	0.6832579185520362
PsA_pathway_only_all_features	PsA	pathway_only	88	129	0.7217194570135748
PsA_pathway_only_all_features	PsA	pathway_only	89	130	0.7285067873303168
PsA_pathway_only_all_features	PsA	pathway_only	90	131	0.7104072398190046
