run_id	disease_group	feature_set	true_label	predicted_label	count
RA_pathway_only_all_features	RA	pathway_only	remission	remission	17
RA_pathway_only_all_features	RA	pathway_only	remission	inefficiency	2
RA_pathway_only_all_features	RA	pathway_only	inefficiency	remission	10
RA_pathway_only_all_features	RA	pathway_only	inefficiency	inefficiency	0
RA_species_diversity_all_features	RA	species_diversity	remission	remission	16
RA_species_diversity_all_features	RA	species_diversity	remission	inefficiency	3
RA_species_diversity_all_features	RA	species_diversity	inefficiency	remission	8
RA_species_diversity_all_features	RA	species_diversity	inefficiency	inefficiency	2
PsA_pathway_only_all_features	PsA	pathway_only	remission	remission	14
PsA_pathway_only_all_features	PsA	pathway_only	remission	inefficiency	3
PsA_pathway_only_all_features	PsA	pathway_only	inefficiency	remission	7
PsA_pathway_only_all_features	PsA	pathway_only	inefficiency	inefficiency	6
PsA_species_diversity_all_features	PsA	species_diversity	remission	remission	12
PsA_species_diversity_all_features	PsA	species_diversity	remission	inefficiency	5
PsA_species_diversity_all_features	PsA	species_diversity	inefficiency	remission	8
PsA_species_diversity_all_features	PsA	species_diversity	inefficiency	inefficiency	5
